Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Taiwo Awoniyi,https://fbref.com/req/202302030/images/headshots/e5478b87_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a776cb.png,FW,ST,0.508,3175256,83890867,10.6247699478586,31.438127090301,1,1,4,,,,,,,,,,5,,,,,,,0,1,19,2.1,-1.1,,60°N-70°N,10.73672187,,,,,,5,2,105,40
Anthony Elanga,https://fbref.com/req/202302030/images/headshots/2fba6108_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a777cb.png,FW,LW,1.424,1587628,83890867,31.3317684,56.8032786885246,1,2,22.3,,,,,,,,,,41,,,,,,,8,6,162,3.9,2.1,,40°N-60°N,12.4518978812608,,,,,,1,1,18,4
Callum Hudson-Odoi,https://fbref.com/req/202302030/images/headshots/15f3ec41_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a778cb.png,FW,LW,1.118,5080409,83890867,24.4143649865688,44.2622950819672,1,2,23,,,,,,,,,,59,,,,,,,2,5,186,2.5,2.5,,20°N-35°N,9.62924437179583,,,,,,3,2,37,13
Ramón Sosa,0,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a779cb.png,FW,LW,0.5,1905153,83890867,10.4439228,18.9344262295082,1,2,2.9,,,,,,,,,,6,,,,,,,0,1,15,0.9,0.1,,35°N-40°N,12.3556942277691,,,,,,6,3,107,34
Jota Silva,0,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a780cb.png,FW,RW,0.551,1587628,83890867,11.5968233686202,120,1,3,9.2,,,,,,,,,,11,,,,,,,1,3,54,1.9,1.1,,60°N-70°N,17.32620320855621,,,,,,4,1,103,26
Elliot Anderson,https://fbref.com/req/202302030/images/headshots/de31038e_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a781cb.png,MF,CM,1.435,2540205,83890867,20.7925318692367,57.706793304945,2,1,24.7,,,,,,,,,,27,,112,33,,74,3.2,,,,,,,20°S-5°S,5.953168513514719,,,,,,4,1,44,15
Nicolás Domínguez,https://fbref.com/req/202302030/images/headshots/20b3a502_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a782cb.png,MF,CM,0.604,2222679,83890867,11.1587777656321,30.9696426633775,2,1,17.4,,,,,,,,,,10,,60,12,,29,1.3,,,,,,,5°S-5°N,4.773113723766059,,,,,,6,3,101,52
Ryan Yates,https://fbref.com/req/202302030/images/headshots/c1fe2a48_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a783cb.png,MF,CM,0.615,3175256,83890867,11.2863003831287,31.3235640316775,2,1,19.4,,,,,,,,,,18,,45,17,,35,0.5,,,,,,,5°S-5°N,4.827660912396206,,,,,,5,2,100,51
Morgan Gibbs-White,https://fbref.com/req/202302030/images/headshots/32f60ed8_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a784cb.png,MF,CAM,1.983,5080409,83890867,27.1454768136113,120,2,2,25.4,,,,,,,,,,46,,139,44,,97,4.3,,,,,,,20°S-5°S,13.08557948740621,,,,,,3,1,18,7
Danilo,https://fbref.com/req/202302030/images/headshots/a816dbfb_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a785cb.png,MF,CDM,8.401,1905153,83890867,37.1053020091621,59.3866049256525,2,3,2.3,,1,,1,79.6,,,,,,14,10,0,1,,,,,,,,,20°S-5°S,16.83181899663396,,,,,,2,2,5,3
