Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Will Hughes,https://fbref.com/req/202302030/images/headshots/a0666d3e_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c63.png,MF,CM,1.032,3175256,92238727,16.1205668827714,44.6805021736474,2,1,20.5,,,,,,,,,,22.0,,82.0,29.0,,61.0,2.3,,,,,,,,,,,,,,4,2,59,26
Daichi Kamada,https://fbref.com/req/202302030/images/headshots/15b287da_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c64.png,MF,CAM,0.772,6668037,92238727,13.1063959237616,24.3799475337355,2,2,13.9,,,,,,,,,,16.0,,71.0,17.0,,41.0,1.3,,,,,,,,,,,,,,6,3,87,26
Eberechi Eze,https://fbref.com/req/202302030/images/headshots/ae4fc6a4_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c65.png,MF,CAM,1.683,6350511,92238727,23.667587245523,44.0254161901096,2,2,25.3,,,,,,,,,,43.0,,85.0,51.0,,116.0,3.4,,,,,,,,,,,,,,1,2,36,13
Cheick Doucouré,https://fbref.com/req/202302030/images/headshots/ce4f40c7_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c66.png,MF,CDM,3.624,4445358,92238727,14.185762070472,49.1689920857208,2,3,5.0,,4.0,,11.0,85.3,,,,,,31.0,19.0,1.0,8.0,,,,,,,,,,,,,,,,5,2,71,22
Jefferson Lerma,https://fbref.com/req/202302030/images/headshots/9b5ce51a_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c67.png,MF,CDM,4.819,4445358,92238727,20.4354773783431,70.8310079142792,2,3,21.6,,31.0,,34.0,75.2,,,,,,136.0,83.0,9.0,13.0,,,,,,,,,,,,,,,,2,1,47,17
Caleb Kporha,0,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c68.png,DF,CB,12.8,343533,92238727,60.392899292146,48.9432772070622,3,1,0.1,0.0,0.0,1.0,0.0,71.4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,5
Chadi Riad,https://fbref.com/req/202302030/images/headshots/b3b9b8b8_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c69.png,DF,CB,2.696,1905153,92238727,24.3792253660002,19.7572760898526,3,1,1.0,33.3,0.0,0.0,2.0,85.4,,,,,,,,,,,,,,,,,,,,,,,,,4,2,31,9
Chris Richards,https://fbref.com/req/202302030/images/headshots/0a3d6d2b_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c70.png,DF,CB,0.738,3492781,92238727,11.2970473259301,9.15529019760447,3,1,17.4,48.5,35.0,96.0,10.0,81.1,,,,,,,,,,,,,,,,,,,,,,,,,9,7,155,90
Joachim Andersen,https://fbref.com/req/202302030/images/headshots/e34fc66d_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c71.png,DF,CB,0.8,5715460,92238727,11.711294025871,9.49100170185339,3,1,11.85,80.8,13.0,72.5,15.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,7,5,148,86
Marc Guéhi,https://fbref.com/req/202302030/images/headshots/d0706b27_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c72.png,DF,CB,1.121,3175256,92238727,13.8560229078233,11.2291209415938,3,1,31.0,56.5,53.0,144.0,24.0,83.3,,,,,,,,,,,,,,,,,,,,,,,,,6,4,112,62
